Food Name,Category,Serving Size,Calories (kcal),Protein (g),Carbohydrates (g),Fats (g),Dietary Preference
Kesari,Dessert,1 bowl (100g),200,3,30,8,Vegetarian
Sev Puri,Snack,6 pieces (120g),180,4,25,8,Vegetarian
Chicken 65,Snack,4 pieces (120g),250,18,10,15,Non-Vegetarian
Mysore Pak,Dessert,1 piece (50g),200,3,25,12,Vegetarian
Puri,Staple,2 pieces (80g),200,4,25,10,Vegetarian
Aloo Tikki,Snack,2 pieces (100g),200,4,30,8,Vegetarian
Methi Thepla,Snack,2 pieces (100g),220,5,30,10,Vegetarian
Kadhi,Lentil Dish,1 bowl (200g),150,5,20,6,Vegetarian
Pakora,Snack,4 pieces (100g),200,4,25,10,Vegetarian
Vegetable Samosa,Snack,1 piece (100g),250,4,30,12,Vegetarian
Mutton Biryani,Main Dish,1 plate (250g),420,22,50,18,Non-Vegetarian
Fish Fry (Pomfret),Main Dish,1 piece (100g),220,18,5,14,Non-Vegetarian
Chicken Curry,Main Dish,1 bowl (200g),280,20,10,18,Non-Vegetarian
Palak Dal,Lentil Dish,1 bowl (200g),180,8,20,8,Vegetarian
Gajar Halwa,Dessert,1 bowl (100g),250,4,35,12,Vegetarian
Rasgulla,Dessert,2 pieces (100g),200,5,35,6,Vegetarian
Chole Bhature,Main Dish,1 plate (200g),400,10,50,20,Vegetarian
Uttapam,Breakfast,1 piece (150g),200,5,35,6,Vegetarian
Kachori,Snack,1 piece (80g),220,4,25,12,Vegetarian
Vegetable Fried Rice,Main Dish,1 plate (200g),220,5,40,6,Vegetarian
Egg Bhurji,Main Dish,1 plate (150g),200,12,10,12,Non-Vegetarian
Paneer Tikka,Main Dish,4 pieces (120g),250,12,10,18,Vegetarian
Shahi Paneer,Main Dish,1 bowl (200g),300,12,15,20,Vegetarian
Mutton Curry,Main Dish,1 bowl (200g),350,20,10,25,Non-Vegetarian
Pesarattu,Breakfast,1 piece (150g),200,6,30,7,Vegetarian
Sabudana Khichdi,Breakfast,1 plate (150g),250,3,40,10,Vegetarian
Aloo Matar,Main Dish,1 bowl (200g),180,5,25,8,Vegetarian
Keema Pav,Main Dish,1 plate (200g),350,18,35,15,Non-Vegetarian
Rava Idli,Breakfast,2 pieces (100g),150,4,25,4,Vegetarian
Barfi,Dessert,1 piece (50g),200,4,25,10,Vegetarian
Veg Hakka Noodles,Main Dish,1 plate (200g),250,6,40,8,Vegetarian
Chicken Fried Rice,Main Dish,1 plate (200g),300,15,40,10,Non-Vegetarian
Tandoori Roti,Staple,1 piece (50g),150,4,25,2,Vegetarian
Mushroom Masala,Main Dish,1 bowl (200g),180,5,20,10,Vegetarian
Lauki Sabzi,Main Dish,1 bowl (200g),120,3,15,5,Vegetarian
Prawn Fry,Main Dish,4 pieces (120g),220,18,5,14,Non-Vegetarian
Seviyan Kheer,Dessert,1 bowl (150g),200,5,30,8,Vegetarian
Aloo Puri,Main Dish,1 plate (200g),300,6,40,12,Vegetarian
Egg Paratha,Breakfast,1 piece (120g),250,8,30,12,Non-Vegetarian
Vegetable Upma,Breakfast,1 plate (150g),200,5,35,6,Vegetarian
Matar Paneer,Main Dish,1 bowl (200g),250,12,15,15,Vegetarian
